GlyphID,Phoneme,SegmentClass,phoneme_count
006D,m,consonant,2914
0069,i,vowel,2779
006B,k,consonant,2730
006A,j,consonant,2716
0075,u,vowel,2646
0061,a,vowel,2600
0070,p,consonant,2594
0077,w,consonant,2483
006E,n,consonant,2349
0074,t,consonant,2064
006C,l,consonant,2044
0073,s,consonant,2020
0062,b,consonant,1906
014B,ŋ,consonant,1897
0065,e,vowel,1841
006F,o,vowel,1826
0261,ɡ,consonant,1712
0068,h,consonant,1703
0064,d,consonant,1376
0072,r,consonant,1332
0066,f,consonant,1329
0272,ɲ,consonant,1255
0074+0320+0283,t̠ʃ,consonant,1218
0294,ʔ,consonant,1131
025B,ɛ,vowel,1129
0283,ʃ,consonant,1104
0254,ɔ,vowel,1070
0069+02D0,iː,vowel,961
007A,z,consonant,893
0061+02D0,aː,vowel,893
0075+02D0,uː,vowel,888
0064+0320+0292,d̠ʒ,consonant,820
0076,v,consonant,816
027E,ɾ,consonant,774
0074+032A,t̪,consonant,707
0259,ə,vowel,675
0074+0073,ts,consonant,666
0065+02D0,eː,vowel,641
006F+02D0,oː,vowel,635
006B+02B0,kʰ,consonant,605
0070+02B0,pʰ,consonant,592
0078,x,consonant,576
0069+0303,ĩ,vowel,542
006E+032A,n̪,consonant,532
0061+0303,ã,vowel,521
0075+0303,ũ,vowel,494
0268,ɨ,vowel,491
0288,ʈ,consonant,481
0292,ʒ,consonant,478
026A,ɪ,vowel,444
0263,ɣ,consonant,436
0064+032A,d̪,consonant,434
0063,c,consonant,418
028A,ʊ,vowel,409
0074+02B0,tʰ,consonant,403
0273,ɳ,consonant,399
0235,ȵ,consonant,380
0261+0062,ɡb,consonant,374
006B+0070,kp,consonant,373
006B+02B7,kʷ,consonant,372
025F,ɟ,consonant,368
026D,ɭ,consonant,359
006F+0303,õ,vowel,345
025B+02D0,ɛː,vowel,324
0065+0303,ẽ,vowel,323
0236,ȶ,consonant,313
0064+007A,dz,consonant,312
0254+02D0,ɔː,vowel,309
03B2,β,consonant,306
027B,ɻ,consonant,306
0253,ɓ,consonant,300
006D+0062,mb,consonant,292
006F+031E,o̞,vowel,289
0065+031E,e̞,vowel,281
006E+0064,nd,consonant,270
014B+0261,ŋɡ,consonant,268
0256,ɖ,consonant,257
0071,q,consonant,256
0257,ɗ,consonant,248
006B+02BC,kʼ,consonant,242
025B+0303,ɛ̃,vowel,240
0254+0303,ɔ̃,vowel,229
0074+0320+0283+02B0,t̠ʃʰ,consonant,229
0251,ɑ,vowel,225
00E6,æ,vowel,223
006C+032A,l̪,consonant,218
03C7,χ,consonant,213
0234,ȴ,consonant,202
0282,ʂ,consonant,198
0074+0073+02B0,tsʰ,consonant,195
026F,ɯ,vowel,193
0261+02B7,ɡʷ,consonant,190
0074+0320+0283+02BC,t̠ʃʼ,consonant,184
027D,ɽ,consonant,179
0074+032A+02B0,t̪ʰ,consonant,179
0070+02BC,pʼ,consonant,178
0079,y,vowel,175
006E+032A+007C+006E,n̪|n,consonant,161
00F0,ð,consonant,160
0281,ʁ,consonant,156
0074+02BC,tʼ,consonant,156
006E+033A,n̺,consonant,156
0278,ɸ,consonant,153
0074+032A+007C+0074,t̪|t,consonant,153
026C,ɬ,consonant,149
0072+033A,r̺,consonant,149
028E,ʎ,consonant,147
006C+033A,l̺,consonant,140
0288+02B0,ʈʰ,consonant,139
00E7,ç,consonant,137
006C+032A+007C+006C,l̪|l,consonant,137
0073+032A+007C+0073,s̪|s,consonant,136
028C,ʌ,vowel,133
0268+0303,ɨ̃,vowel,129
006E+0320+0064+0320+0292,n̠d̠ʒ,consonant,129
0074+0073+02BC,tsʼ,consonant,128
014B+02B7,ŋʷ,consonant,124
0073+032A,s̪,consonant,124
0063+00E7,cç,consonant,124
03B8,θ,consonant,123
0074+0255,tɕ,consonant,122
0255,ɕ,consonant,120
0074+033A,t̺,consonant,117
0279+033A,ɹ̺,consonant,114
0259+02D0,əː,vowel,114
025F+029D,ɟʝ,consonant,111
0266,ɦ,consonant,109
0288+0282,ʈʂ,consonant,106
0251+02D0,ɑː,vowel,104
026A+0303,ɪ̃,vowel,103
006B+02B2,kʲ,consonant,101
0069+0303+02D0,ĩː,vowel,101
